id,room_type,price,minimum_nights,number_of_reviews_ltm,reviews_per_month,latitude,longitude
334603,Entire home/apt,314,2,4,0.5,51.54363,-0.25556
301631,Private room,55,30,0,,51.51806,-0.01719
308640,Entire home/apt,199,365,11,0.39,51.55216,-0.03871
335867,Entire home/apt,200,21,0,,51.53098,-0.01191
336577,Entire home/apt,194,1,24,3.02,51.53185,-0.08152
343754,Entire home/apt,143,5,0,0.31,51.52429,-0.10866
343848,Private room,33,30,0,0.42,51.65075,-0.11841
310274,Private room,50,1,0,,51.5873,-0.09953
344094,Private room,29,3,4,1.44,51.41847,-0.12583
344102,Private room,29,3,4,1.53,51.41727,-0.12568
344233,Private room,175,2,0,,51.5435,0.05856
345013,Entire home/apt,125,5,0,0.08,51.50137,-0.06898
345039,Entire home/apt,235,14,0,,51.53575,-0.23816
345321,Entire home/apt,300,14,0,,51.53232,-0.00862
337806,Entire home/apt,75,1,0,0.25,51.55112,-0.07469
338613,Private room,41,2,0,,51.47651,-0.08427
340435,Private room,59,2,1,2.76,51.50743,-0.22568
340933,Private room,45,1,0,,51.49208,-0.06124
310665,Entire home/apt,190,3,0,0.19,51.56099,-0.0774
310724,Entire home/apt,250,3,1,1.47,51.49324,-0.11058
341143,Private room,70,1,0,0.04,51.57036,-0.11044
341779,Private room,21,1,5,0.42,51.40392,-0.09948
341956,Private room,50,2,0,0.01,51.53193,-0.37645
310949,Private room,34,3,12,2.24,51.49927,0.10729
348549,Entire home/apt,140,3,4,0.51,51.52804,-0.06444
345877,Entire home/apt,80,4,10,0.48,51.53805,-0.08485
311430,Private room,40,5,2,0.17,51.46934,-0.10136
311768,Entire home/apt,429,2,16,0.83,51.41779,-0.15163
374594,Entire home/apt,80,7,0,0.09,51.4214,-0.16378
375006,Private room,53,2,0,4.28,51.5007,-0.11516
346523,Entire home/apt,170,4,4,1.02,51.48464,-0.18231
347389,Private room,135,2,0,0.18,51.49962,0.03246
347436,Private room,381,2,0,,51.54832,-0.18374
348076,Private room,100,1,0,,51.54254,0.00881
348215,Private room,69,1,34,1.04,51.54372,-0.14685
348217,Entire home/apt,400,2,1,0.51,51.54236,-0.14495
375657,Private room,76,5,1,0.48,51.50146,-0.24997
349273,Private room,45,2,0,0.01,51.60986,-0.01928
349339,Private room,50,2,1,0.08,51.61707,-0.14813
379137,Entire home/apt,150,7,0,0.08,51.55508,-0.05801
349930,Private room,45,2,0,0.58,51.52867,-0.09961
350442,Entire home/apt,251,2,6,0.32,51.56756,-0.10637
350530,Entire home/apt,85,3,0,0.16,51.53688,-0.05537
375799,Entire home/apt,80,7,0,0.46,51.4041,-0.25129
377707,Private room,45,2,7,1.32,51.59859,-0.00736
380188,Entire home/apt,139,5,19,1.08,51.45791,-0.32225
377982,Entire home/apt,154,4,11,0.69,51.49903,-0.13648
378406,Private room,36,4,0,,51.42533,-0.16834
378407,Entire home/apt,120,7,0,,51.42484,-0.16602
378551,Entire home/apt,110,4,0,0.44,51.48143,-0.26897
379053,Private room,49,2,16,1.27,51.55301,-0.07762
350588,Private room,999,2,27,2.44,51.53555,-0.11739
351727,Private room,32,2,9,1.87,51.45371,-0.11009
380714,Private room,49,2,1,0.07,51.54036,-0.08834
353133,Private room,60,12,1,0.63,51.54472,-0.10965
354003,Entire home/apt,200,4,2,0.95,51.49117,-0.18766
379060,Entire home/apt,92,2,8,2.08,51.48394,-0.19872
384770,Entire home/apt,120,4,10,0.66,51.50372,-0.22123
385019,Entire home/apt,305,7,0,,51.55623,-0.07596
381005,Private room,30,3,1,0.74,51.54966,-0.22342
