id,property_type_2020,price_2020,number_of_reviews_ltm_2020,reviews_per_month_2020,room_type_2022,price_2022,latitude,longitude,minimum_nights,reviews_per_month_2022
245116.0,Private room in apartment,$60.00,2.0,0.16,Private room,70,51.55012,-0.11695,1,0.16
245825.0,Private room in house,$56.00,0.0,,Private room,56,51.63021,-0.13472,1,
249238.0,Private room in apartment,$40.00,0.0,0.19,Private room,40,51.53152,-0.09268,1,0.16
249395.0,Entire house,$300.00,0.0,0.02,Entire home/apt,300,51.55468,-0.13524,7,0.02
252016.0,Private room in house,$45.00,0.0,0.04,Private room,60,51.47615,-0.06092,2,0.02
252226.0,Private room in apartment,$57.00,0.0,,Private room,57,51.4295,-0.12573,1,
254996.0,Private room in house,$29.00,35.0,3.12,Private room,32,51.52339,-0.31421,1,3.08
257219.0,Entire apartment,$40.00,0.0,,Entire home/apt,40,51.52999,-0.08276,21,
260259.0,Private room in house,$51.00,0.0,,Private room,51,51.5333,0.04779,1,
263672.0,Private room in house,$35.00,16.0,1.52,Private room,35,51.47022,-0.17008,1,1.44
263822.0,Entire house,$64.00,4.0,0.27,Entire home/apt,100,51.51854,0.02291,3,0.3
264776.0,Entire apartment,$218.00,7.0,0.43,Entire home/apt,291,51.44306,-0.01948,3,0.38
264778.0,Entire apartment,$120.00,4.0,0.3,Entire home/apt,121,51.44359,-0.02275,3,0.28
264779.0,Entire apartment,$110.00,1.0,0.24,Entire home/apt,157,51.44355,-0.02309,3,0.21
264780.0,Entire apartment,$120.00,0.0,0.14,Entire home/apt,166,51.44333,-0.02307,3,0.15
264789.0,Entire apartment,$170.00,3.0,0.33,Entire home/apt,211,51.44346,-0.02122,3,0.26
268398.0,Private room in apartment,$38.00,10.0,4.04,Private room,40,51.50287,-0.10937,1,3.62
269065.0,Private room in house,$29.00,0.0,0.41,Private room,31,51.50669,-0.33013,2,0.35
269172.0,Private room in house,$46.00,0.0,,Private room,46,51.47174,0.05861,1,
270600.0,Entire apartment,$70.71,13.0,0.61,Entire home/apt,71,51.44311,-0.33245,4,0.54
271122.0,Private room in house,$30.00,0.0,0.08,Private room,30,51.53097,-0.39891,1,0.07
271815.0,Entire apartment,$136.00,1.0,0.51,Entire home/apt,136,51.5208,-0.20577,28,0.53
272530.0,Private room in apartment,$80.00,1.0,0.41,Private room,80,51.54248,-0.09712,5,0.35
274740.0,Entire apartment,$115.00,6.0,0.78,Entire home/apt,140,51.47223,-0.18466,3,0.65
274918.0,Entire apartment,$87.00,2.0,0.15,Entire home/apt,100,51.42229,-0.178,4,0.16
275140.0,Entire apartment,$119.00,2.0,0.57,Entire home/apt,108,51.43951,-0.05175,4,0.64
276082.0,Private room in house,$50.00,0.0,0.17,Private room,50,51.61782,-0.02283,2,0.14
276888.0,Entire apartment,$126.43,0.0,0.08,Entire home/apt,140,51.42328,-0.17789,4,0.08
277580.0,Entire townhouse,$124.00,2.0,0.07,Entire home/apt,124,51.49254,-0.30935,3,0.1
278559.0,Entire apartment,$89.00,0.0,0.06,Entire home/apt,89,51.51488,-0.19016,5,0.05
280894.0,Entire apartment,$149.00,0.0,0.3,Entire home/apt,149,51.49777,-0.09097,7,0.24
282198.0,Entire apartment,$118.00,1.0,0.75,Entire home/apt,111,51.52361,-0.11591,14,0.64
282299.0,Private room in house,$45.00,0.0,,Private room,45,51.55918,-0.07416,14,
282846.0,Private room in house,$50.00,0.0,,Private room,50,51.58619,-0.25304,1,0.37
283569.0,Entire apartment,$94.00,0.0,0.2,Entire home/apt,86,51.5067,-0.24775,3,0.21
284532.0,Entire apartment,$80.00,1.0,0.4,Entire home/apt,90,51.52851,-0.07426,5,0.36
286675.0,Entire apartment,$50.00,7.0,0.96,Entire home/apt,70,51.57982,-0.37539,3,0.87
288828.0,Entire apartment,$102.00,0.0,,Entire home/apt,102,51.53741,-0.23727,2,
289422.0,Private room in townhouse,$45.00,1.0,0.39,Private room,45,51.52185,0.02417,7,0.34
290233.0,Entire house,$572.00,0.0,,Entire home/apt,572,51.53667,0.00562,14,
290923.0,Entire townhouse,$275.00,0.0,0.21,Entire home/apt,275,51.54039,-0.14282,2,0.17
291731.0,Private room in apartment,$29.00,0.0,0.02,Private room,29,51.429,-0.12764,2,0.01
294177.0,Entire apartment,$50.00,0.0,1.06,Entire home/apt,50,51.59375,-0.25767,7,0.92
294247.0,Private room in apartment,$54.00,2.0,2.12,Private room,120,51.48641,-0.21277,2,1.79
294887.0,Private room in apartment,$34.00,3.0,0.46,Private room,34,51.57537,0.00536,2,0.41
295222.0,Private room in house,$86.00,0.0,,Private room,86,51.52214,-0.34366,1,
296720.0,Private room in house,$45.00,0.0,,Private room,45,51.41877,-0.16772,1,
298246.0,Entire apartment,$135.00,0.0,,Entire home/apt,135,51.42892,-0.12915,7,
299374.0,Entire apartment,$58.00,12.0,1.71,Entire home/apt,59,51.55764,-0.30173,1,1.44
300333.0,Private room in house,$57.00,0.0,,Private room,57,51.56049,-0.40791,1,
300723.0,Entire apartment,$200.00,1.0,0.55,Entire home/apt,200,51.58358,-0.1177,3,0.47
301631.0,Private room in apartment,$55.00,0.0,,Private room,55,51.51806,-0.01719,30,
302760.0,Entire house,$100.00,0.0,,Entire home/apt,100,51.45398,-0.02118,4,
304918.0,Entire loft,$80.00,48.0,3.29,Entire home/apt,130,51.52264,-0.10323,4,2.79
305573.0,Entire apartment,$70.00,0.0,0.13,Entire home/apt,75,51.49608,-0.09713,15,0.12
306405.0,Private room in apartment,$41.00,0.0,0.03,Private room,41,51.54072,0.15246,4,0.02
307923.0,Private room in house,$26.00,4.0,0.84,Private room,36,51.52344,-0.46178,1,0.84
308640.0,Entire apartment,$127.86,2.0,0.33,Entire home/apt,199,51.55216,-0.03871,365,0.39
310274.0,Private room in house,$50.00,0.0,,Private room,50,51.5873,-0.09953,1,
310665.0,Entire townhouse,$200.00,0.0,0.22,Entire home/apt,190,51.56099,-0.0774,3,0.19
310724.0,Entire townhouse,$271.00,9.0,1.73,Entire home/apt,250,51.49324,-0.11058,3,1.47
310949.0,Private room in townhouse,$34.00,21.0,2.52,Private room,34,51.49927,0.10729,3,2.24
311430.0,Private room in apartment,$35.00,2.0,0.18,Private room,40,51.46934,-0.10136,5,0.17
311768.0,Entire apartment,$500.00,14.0,3.16,Entire home/apt,429,51.41779,-0.15163,2,0.83
312465.0,Private room in house,$100.00,0.0,,Private room,100,51.54174,0.006,1,
312761.0,Entire apartment,$140.00,2.0,0.84,Entire home/apt,144,51.52704,-0.08129,21,0.75
313710.0,Entire apartment,$88.57,0.0,0.1,Entire home/apt,89,51.53347,-0.23292,2,0.08
314066.0,Private room in townhouse,$26.00,31.0,2.95,Private room,26,51.60134,-0.08688,1,2.47
314164.0,Entire house,$97.00,1.0,0.08,Entire home/apt,97,51.55896,-0.08297,7,0.07
314985.0,Private room in house,$32.00,0.0,0.07,Private room,32,51.52626,0.02904,2,0.06
315238.0,Entire apartment,$140.00,4.0,0.54,Entire home/apt,170,51.47565,-0.15073,2,0.67
315658.0,Private room in apartment,$50.00,21.0,3.84,Private room,50,51.48383,-0.11655,3,3.22
316137.0,Private room in house,$93.00,2.0,0.32,Private room,90,51.54289,-0.14541,1,0.32
318287.0,Private room in house,$29.00,7.0,0.89,Private room,29,51.61607,-0.02982,2,0.78
318986.0,Entire apartment,$200.00,0.0,,Entire home/apt,200,51.49113,-0.19482,7,
320629.0,Private room in apartment,$75.00,10.0,2.6,Private room,75,51.5385,-0.14719,2,2.19
321411.0,Private room in apartment,$69.00,1.0,0.12,Private room,69,51.49897,-0.20395,2,0.1
322606.0,Private room in house,$40.00,25.0,1.64,Private room,50,51.47043,-0.17155,2,1.49
323473.0,Entire apartment,$99.00,0.0,0.62,Entire home/apt,99,51.53861,-0.09678,7,0.54
324055.0,Private room in house,$29.00,0.0,,Private room,29,51.55311,0.02273,150,
324229.0,Private room in apartment,$65.00,0.0,,Private room,65,51.58095,-0.22395,1,
325673.0,Private room in apartment,$50.00,9.0,1.19,Private room,40,51.54387,-0.17308,1,0.86
325809.0,Entire house,$759.00,0.0,,Entire home/apt,763,51.54897,-0.18309,14,
326146.0,Private room in apartment,$120.00,0.0,,Private room,120,51.57139,-0.03131,7,
326633.0,Private room in apartment,$60.00,17.0,2.26,Private room,90,51.47565,-0.15159,2,1.92
329610.0,Private room in apartment,$100.00,0.0,,Private room,100,51.56407,-0.01151,1,
330044.0,Private room in apartment,$40.00,0.0,0.07,Private room,40,51.48423,-0.2629,3,0.06
330783.0,Private room in apartment,$45.00,0.0,,Private room,45,51.45768,-0.0526,5,
331058.0,Private room in apartment,$37.00,8.0,1.44,Private room,46,51.50095,-0.25827,1,1.27
334310.0,Private room in townhouse,$36.00,11.0,1.63,Private room,36,51.45625,-0.01633,8,1.41
335867.0,Entire apartment,$200.00,0.0,,Entire home/apt,200,51.53098,-0.01191,21,
336577.0,Private room in apartment,$100.00,3.0,3.42,Entire home/apt,194,51.53185,-0.08152,1,3.02
337806.0,Entire apartment,$57.00,1.0,0.3,Entire home/apt,75,51.55112,-0.07469,1,0.25
340435.0,Private room in apartment,$72.00,24.0,3.26,Private room,59,51.50743,-0.22568,2,2.76
340933.0,Private room in apartment,$45.00,0.0,,Private room,45,51.49208,-0.06124,1,
341143.0,Private room in house,$70.00,0.0,0.05,Private room,70,51.57036,-0.11044,1,0.04
341779.0,Private room in house,$21.00,6.0,0.4,Private room,21,51.40392,-0.09948,1,0.42
341956.0,Private room in apartment,$50.00,0.0,0.01,Private room,50,51.53193,-0.37645,2,0.01
342636.0,Private room in house,$60.00,0.0,,Private room,60,51.45837,-0.03635,1,
343701.0,Entire apartment,$50.00,3.0,0.5,Entire home/apt,51,51.52738,0.00964,5,0.61
344094.0,Private room in townhouse,$25.00,12.0,1.66,Private room,29,51.41847,-0.12583,3,1.44
344102.0,Private room in townhouse,$25.00,11.0,1.81,Private room,29,51.41727,-0.12568,3,1.53
344233.0,Private room in house,$175.00,0.0,,Private room,175,51.5435,0.05856,2,
345013.0,Entire townhouse,$125.00,1.0,0.12,Entire home/apt,125,51.50137,-0.06898,5,0.08
345039.0,Entire apartment,$235.00,0.0,,Entire home/apt,235,51.53575,-0.23816,14,
345321.0,Entire apartment,$300.00,0.0,,Entire home/apt,300,51.53232,-0.00862,14,
345877.0,Entire apartment,$80.00,5.0,0.47,Entire home/apt,80,51.53805,-0.08485,4,0.48
346523.0,Entire condominium,$99.00,1.0,1.19,Entire home/apt,170,51.48464,-0.18231,4,1.02
347389.0,Private room in bed and breakfast,$135.00,1.0,0.22,Private room,135,51.49962,0.03246,2,0.18
347436.0,Private room in house,$380.00,0.0,,Private room,381,51.54832,-0.18374,2,
348076.0,Private room in apartment,$100.00,0.0,,Private room,100,51.54254,0.00881,1,
348215.0,Private room in house,$53.00,11.0,0.88,Private room,69,51.54372,-0.14685,1,1.04
348217.0,Entire house,$250.00,1.0,0.64,Entire home/apt,400,51.54236,-0.14495,2,0.51
348549.0,Entire condominium,$135.00,3.0,0.56,Entire home/apt,140,51.52804,-0.06444,3,0.51
349273.0,Private room in apartment,$45.00,0.0,0.01,Private room,45,51.60986,-0.01928,2,0.01
349339.0,Private room in house,$50.00,2.0,0.08,Private room,50,51.61707,-0.14813,2,0.08
